Ngày,Thành_phố,Khu_vực,Nhiệt_độ,Áp_suất,Tốc_độ_gió,Hướng_gió,Độ_ẩm,Chỉ_số_UV,Lượng_mưa,Thời_tiết,AQI,PM2.5,PM10,CO,NO2,SO2,O3
2023-01-01,Hà Nội,Bắc Bộ,18.1,1007.7,4.6,144,74.9,0.5,1.9,Mưa nhẹ,70.0,57.8,73.9,4.03,20.1,15.4,15.3
2023-01-01,TP Hồ Chí Minh,Nam Bộ,29.5,992.5,2.7,255,70.8,2.0,0.0,Mây,76.0,57.3,84.6,3.86,17.6,10.8,26.0
2023-01-01,Đà Nẵng,Trung Bộ,28.6,1003.0,6.1,31,83.7,2.4,1.2,Mưa nhẹ,53.0,33.9,33.5,3.33,1.9,16.0,10.5
2023-01-01,Hải Phòng,Bắc Bộ,17.3,1002.5,4.9,195,74.0,3.9,0.0,Mây,57.0,48.9,87.7,3.08,18.4,6.9,3.4
2023-01-01,Cần Thơ,Nam Bộ,33.1,994.7,4.1,255,73.2,1.4,0.0,Nắng,63.0,47.7,73.1,3.95,16.1,4.3,25.4
2023-01-01,Huế,Trung Bộ,27.4,992.8,11.5,51,80.3,4.7,0.0,Nắng,35.0,29.3,42.6,1.91,8.8,4.3,18.7
2023-01-01,Nha Trang,Trung Bộ,34.1,995.2,0.5,187,84.1,2.4,0.0,Nắng,50.0,27.5,50.8,2.97,13.2,0.6,10.1
2023-01-01,Đà Lạt,Tây Nguyên,20.8,1000.9,3.1,302,68.5,4.2,0.0,Mây,14.0,13.4,17.0,0.43,8.5,3.7,1.6
2023-01-01,Vũng Tàu,Nam Bộ,32.4,1000.1,11.6,349,68.1,3.0,0.8,Mưa nhẹ,48.0,26.6,28.9,2.45,15.3,5.6,13.0
2023-01-01,Hạ Long,Bắc Bộ,16.3,1004.2,5.3,274,66.4,1.7,0.0,Nắng,71.0,54.1,85.2,3.98,4.9,10.7,16.6
2023-01-02,Hà Nội,Bắc Bộ,19.4,1001.0,13.5,354,71.2,3.4,0.0,Nắng,74.0,52.7,71.6,3.37,11.2,13.4,16.2
2023-01-02,TP Hồ Chí Minh,Nam Bộ,32.2,1000.5,1.8,21,62.3,2.3,4.6,Mưa nhẹ,85.0,62.9,86.5,5.29,19.4,15.3,15.6
2023-01-02,Đà Nẵng,Trung Bộ,26.0,998.8,10.5,47,71.0,2.4,0.0,Nắng,46.0,29.7,49.7,2.63,9.6,3.5,15.8
2023-01-02,Hải Phòng,Bắc Bộ,19.1,1000.3,2.4,51,66.2,2.2,0.0,Nắng,68.0,45.7,71.4,4.45,10.6,6.1,10.2
